short_new,long,shorts
IG 2.2,"Inscriptiones Graecae, Inscriptiones Atticae, vol. 2, editio minor.",IG 2.2
Koshelenko 1989,"G. Koshelenko, A. Lapshin and S. Novikov, “Mansur-depe excavations,” Bulletin of the Asia Institute n.s. 3 (1989) 45-52.",Koshelenko 1989
Galliou 1983,"P. Galliou, L’Armorique romaine, Brasparts, 1983.",Galliou 1983
Williams 1991,"C. Williams and H. Williams, “Excavations at Mytilene, 1990,” EMC 35 (1991) 175-91.",Williams 1991
Schmiedt 1966,"G. Schmiedt, “Antichi porti d’Italia, I. I porti delle colonie greche,” L’Universo 46 (1966) 297-353.",Schmiedt 1966
TIB Thrakien,"P. Soustal, Tabula Imperii Byzantini 6, Thrakien, DenkWien 221, Vienna, 1991.",TIB Thrakien
Williams 1994,"R.J. Williams and R. Zeepvat, Bancroft: a Late Bronze Age/Iron Age settlement, Roman villa and temple-mausoleum, 2 vols., Bristol, 1994.",Williams 1994
Van den Boorn 1989,"G.P.F. Van den Boorn, J.M. Houtkamp and L.B.M. Verhart, “Surface finds from KS-Sites east of Haft Tepe (Khuzistan),” IranAnt 24 (1989) 13-43.",Van den Boorn 1989
Marion 1957,"J. Marion, “Les ruines anciennes de la région d’Oujda,” BAM 2 (1957) 117-73.",Marion 1957
Mildenberger 1972,"G. Mildenberger, Römerzeitliche Siedlungen in Nordhessen, Kasseler Beiträge zur Vor- und Frühgeschichte 3, Marburg, 1972.",Mildenberger 1972
Cambi 1993,"N. Cambi, “Arheološki pogled na probleme istraživanja, konzervacije, rekonstrukcije i prezentacije ilirskog naselja na Ošanićima / An archaeological view of the problems of investigation, conserving, reconstructing and presenting the Illyrian settlement on Ošanići,” Radovi Fil. fak. Zad. 19 (1993) 37-60.",Cambi 1993
Goodchild 1954,"R.G. Goodchild and J.R. Kirk, “The Romano-Celtic temple at Woodeaton,” Oxoniensia 19 (1954) 15-37.",Goodchild 1954
Barag 1973,"D. Barag, “The borders of Syria-Palaestina on an inscription from the Raphia area,” IEJ 23 (1973) 50-52.",Barag 1973
Barra Bagnasco 1990,"M. Barra Bagnasco, “Pomarico Vecchio (Matera), campagna di scavo 1989,” BdArch 4 (1990) 98-103.",Barra Bagnasco 1990
Karageorghis 1984,"V. Karageorghis, “Chronique des fouilles et découvertes archéologiques à Chypre en 1983,” BCH 108 (1984) 893-966.",Karageorghis 1984
Goodchild 1959,"R.G. Goodchild, Cyrene and Apollonia. An historical guide, London, 1959.",Goodchild 1959
Hudeczek 1977,"E. Hudeczek, “Flavia Solva,” ANRW II.6 (1977) 414-71.",Hudeczek 1977
Marion 1959,"J. Marion, “L’éperon fortifié de Sidi-Medjahed (Oranie),” Libyca 7 (1959) 27-41.",Marion 1959
Mildenberger 1978,"G. Mildenberger, Germanische Burgen, Münster, 1978.",Mildenberger 1978
Näsman 1989,"U. Näsman, “The Gates of Eketorp-II. To the question of Roman prototypes of the Öland ring-forts,” in K. Randsborg (ed.), The birth of Europe: Archaeology and social development in the first millennium A.D., pp. 129-39, Rome, 1989.",Näsman 1989
CAG 50,"J. Pilet-Lemière and D. Levalet, Carte archéologique de la Gaule 50. Manche, Paris, 1989.",CAG 50
Polverini 1987,"L. Polverini et al. (eds.), Firmum Picenum, vol. 1, Pisa, 1987.",Polverini 1987
CAG 52,"J.-J. Thévenard, Carte archéologique de la Gaule 52. La Haute-Marne, Paris, 1996.",CAG 52
CAG 53,"J. Naveau, Carte archéologique de la Gaule 53. Le Mayenne, Paris, 1992.",CAG 53
Fakhry 1974,"A. Fakhry, The oases of Egypt. II, Bahriyah and Farafra oases, Cairo, 1974.",Fakhry 1974
Munzi 1995,"M. Munzi, “La nuova Statonia,” Ostraka 4 (1995) 285-99.",Munzi 1995
CAG 58,"H. Bigeard, Carte archéologique de la Gaule 58. La Nièvre, Paris, 1996.",CAG 58
CAG 59,"R. Delmaire et al., Carte archéologique de la Gaule 59. Le Nord, Paris, 1996.",CAG 59
Chapotat 1970,"G. Chapotat, Vienne gauloise. Le matériel de La Tène III trouvé sur la colline de Sainte-Blandine, Lyon, 1970.",Chapotat 1970
Bulat 1977,"M. Bulat, “Stanje istraživanja antičkih naselja u Slavoniji / Stand der Forschung über die antiken Ansiedlungen in Slawonien,” in Antički gradovi i naselja u južnoj Panoniji i graničnim područjima / Les villes et les agglomerations antiques en Pannonie du sud et dans les regions limitrophes, pp. 63-87, Belgrade, 1977.",Bulat 1977
Buluç 1984,"S. Buluç, “Patara Yüzey Araştırmasının ön Verileri Hakkında,” Araştırma 1 (1984) 139-44.",Buluç 1984
Harding 1952,"G.L. Harding and E. Littmann, Some Thamudic inscriptions from the Hashemite kingdom of the Jordan, Leiden, 1952.",Harding 1952
Fraser 1954,"P.M. Fraser and G.E. Bean, The Rhodian Peraea and islands, Oxford, 1954.",Fraser 1954
Freytet 1990,"P. Freytet et al., “Le site de la Védrenne (La Chapelle-Saint-Martial, Creuse) . Etude d’une villa gallo-romaine et de son environnement,” TAL 10 (1990) 33-34.",Freytet 1990
Ruprechtsberger 1997,"E.M. Ruprechtsberger, Die Garamanten, Geschichte und Kultur eines Libyschen Volkes in der Sahara, Mainz, 1997.",Ruprechtsberger 1997
Ariño Gil 1986,"E. Ariño Gil, Centuriaciones Romanas en el valle medio del Ebro. Provincia de la Rioja, Insituto de Estudios Riojanos, Logroño, 1986.",Ariño Gil 1986
Klindt-Jensen 1978,"O. Klindt-Jensen, Slusegård-gravpladsen. Bornholm fra 1.årh.f. til 5.årh.e.v.t., 3 vols., Århus, 1978-91.",Klindt-Jensen 1978
Shahid 1989,"I. Shahid, Byzantium and the Arabs in the fifth century, Washington, DC, 1989.",Shahid 1989
Parrot 1948,"A. Parrot, Tello; vingt campagnes de fouilles (1877-1933), Paris, 1948.",Parrot 1948
Okhotnikov 1990,"S.B. Okhotnikov, Nizhneye Podnestrov'ye v VI-V vv. do n.e., Kiev, 1990.",Okhotnikov 1990
Ghabban 1993,"A.I. Ghabban, Islamic archaeology of northwestern Saudi Arabia II, Riyadh, 1993.",Ghabban 1993
Calderone 1996,"A. Calderone et al., Monte Saraceno di Ravanusa. Un ventennio di ricerche e studi, Messina, 1996.",Calderone 1996
Hoffmann 1880,"G. Hoffmann, Auszüge aus syrischen Akten persischer Märtyrer, Abhandlungen für die Kunde des Morgenlandes 7.3, Leipzig, 1880.",Hoffmann 1880
Eck 1979,"W. Eck, Die staatliche Organisation Italiens in der hohen Kaiserzeit, Munich, 1979.",Eck 1979
Stronach 1978a,"D. Stronach and M. Roaf, “Excavations at Tepe Nush-i Jan: Part 1, a third interim report,” Iran 16 (1978) 1-11.",Stronach 1978
Wheeler 1932,"R.E.M. Wheeler and T.V. Wheeler, Report on the excavation of the Prehistoric, Roman and Post-Roman site in Lydney Park, Gloucestershire, Reports of the Research Committee of the Society of Antiquaries of London 9, London, 1932.",Wheeler 1932
Settembrini 1993,"A. Settembrini, “L’acquedotto romano di Amendolara in Calabria,” RTA 3 (1993) 195-200.",Settembrini 1993
Faure 1993,"P. Faure, “Nouvelles identifications d’antiques localités crétoises,” Kadmos 32 (1993) 67-74.",Faure 1993
Kleiss 1973a,"W. Kleiss, “Qal'eh Zohak in Azerbaidjan,” IranMitt 6 (1973) 163-88.",Kleiss 1973a; Kleiss 1973
Branigan 1977,"K. Branigan, Gatcombe Roman villa, BAR British series 44, Oxford, 1977.",Branigan 1977
Sokolovska 1980,"V. Sokolovska, “Isar-Marvinci, researches in the Roman town,” ArchIug 20-21 (1980-81) 116-24.",Sokolovska 1980
Wilson 1880,"C.W. Wilson, Picturesque Palestine, Sinai and Egypt, London, 1880.",Wilson 1880
Isaac 1992,"B. Isaac, The limits of empire: the Roman army in the East, rev. ed., Oxford, 1992.",Isaac 1992
Nash-Williams 1969,"V.E. Nash-Williams, The Roman frontier in Wales, 2 ed., Cardiff, 1969.",Nash-Williams 1969
Heberdey 1896,"R. Heberdey and A. Wilhelm, Reisen in Kilikien, DenkWien 44, 1896.",Heberdey 1896
Kontes 1978,"I.D. Kontes, Λέσβος καί ἡ μικρασιατική της περιοχή, Ancient Greek Cities 24, Athens, 1978.",Kontes 1978
Pelletier 1990,"A. Pelletier and J. Rossiaud, Histoire de Lyon des origines à nos jours, vol. 1, Lyon, 1990.",Pelletier 1990
Cagnat 1936,"R. Cagnat, “Un nouveau milliaire de Syrie,” Syria 17 (1936) 99-100.",Cagnat 1936
Gaibov 1990,"V. Gaibov, G. Koshelenko and S. Novikov, “Chilburj,” Bulletin of the Asia Institute n.s. 4 (1990) 21-36.",Gaibov 1990
Jacono 1924,"L. Jacono, “Piscinae in litore constructae,” NSc (1924) 333-40.",Jacono 1924
Rouillard 1991,"P. Rouillard, Les Grecs et la Péninsule Iberique du VIII au IV siècle avant Jésus-Christ, Paris, 1991.",Rouillard 1991
Decourt 1990a,"J.-C. Decourt, “Décret de Pharsale pour une politographie,” ZPE 81 (1990) 163-84.",Decourt 1990a
Rayssiguier 1990,"G. Rayssiguier and C. Guichard, “Baou de Saint-Marcel,” in Voyage en Massalie: 100 ans d’archéologie en Gaule du Sud, pp. 46-53, Marseille, 1990.",Rayssiguier 1990
Isaac 1995,"B. Isaac, “The army in the Late Roman East: the Persian wars and the defence of the Byzantine provinces,” in A. Cameron, L. Conrad and G. King (eds.), The Byzantine and Early Islamic Near East III. States, resources and armies, pp. 125-55, Princeton, 1995. (= The Near East under Roman rule. Selected papers, Mnemosyne suppl. 177, pp. 437-69, Leiden, 1998.) .",Isaac 1995
Miletić 1993a,"Ž. Miletić, “Rimske ceste između Jadera, Burnuma i Salone / Roman roads between Iader, Burnum and Salona,” Radovi Fil. fak. Zad. 19 (1993) 117-50.",Miletić 1993a
Euzennat 1990a,"M. Euzennat, “Ad Mercuri-Ad Mercurios,” BCTH 23B (1990-92) 227-28.",Euzennat 1990a
Castellví 1995,"G. Castellví, J.M. Nolla and I. Rodà, “La identificación de los trofeos de Pompeyo en el Pirineo,” JRA 8 (1995) 5-18.",Castellví 1995
Faure 1994,"R. Faure, “Les voies romaines dans le département de la Loire,” Bulletin de la Diana 54.1 (1994) 22-78.",Faure 1994
Graf 1983,"D.F. Graf, “The Nabataeans and the Hisma: in the footsteps of Glueck and beyond,” in The Word of the Lord shall go forth: essays in honor of David Noel Freedman, AASOR special volume series 1, pp. 647-64, Winona Lake, IN, 1983.",Graf 1983
Oelsner 1982,"J. Oelsner, “Nochmals ‘Hipparenum (Plinius nat. hist. VI 123) = Nippur?’,” Altorientalische Forschungen 9 (1982) 259-62.",Oelsner 1982
Leach 1991,"P. Leach, Shepton Mallet: Romano-Britons and early Christians in Somerset, Birmingham, 1991.",Leach 1991
Milano in età imperiale,"Milano in età imperiale, I-III secolo. Atti del Convegno di studi, 7 novembre 1992, Milan, 1996.",Milano in età imperiale
Frasca 1981,"M. Frasca, La necropoli di Monte Finocchito, CronASA 20, Catania, 1981.",Frasca 1981
Buresch 1898,"K. Buresch, Aus Lydien, Epigraphisch-geographische Reisefrüchte, Leipzig, 1898.",Buresch 1898
Papadakis 1989,"N.P. Papadakis, Σητεία. Η Πατρίδα του Μύσωνα και του Κορνάρου, Siteia, 1989.",Papadakis 1989
Quilici 1985,"L. Quilici, “Segnalazioni in margine alla costruenda autostrada Fiano-San Cesareo,” QuadAEI 11 (1985) 156-66.",Quilici 1985
TIB Aigaion Pelagos,"J. Koder, Tabula Imperii Byzantini 10, Aigaion Pelagos (Die nördliche Ägäis), DenkWien 259, 1998.",TIB Aigaion Pelagos
Ober 1985,"J. Ober, Fortress Attica. Defense of the Athenian land frontier 404-322 B.C., Mnemosyne Suppl. 84, Leiden, 1985.",Ober 1985
Kitchell 1977,"K.F. Kitchell, “Topographica Cretica: ‘Topoi’ of classical Crete with testimonia,” diss., Loyola University of Chicago, 1977.",Kitchell 1977
Pascher 1949,"G. Pascher, Römische Siedlungen und Straßen im Limesgebiet zwischen Enns und Leitha, Der Römische Limes in Österreich 19, Vienna, 1949.",Pascher 1949
Hübschmann 1904,"H. Hübschmann, “Die altarmenischen Ortsnamen,” Indogermanische Forschungen 16 (1904) 197-490.",Hübschmann 1904
von Aulock 1987,"H. von Aulock, Münzen und Städte Phrygiens, vol. 2, IstMitt Beiheft 27, Tübingen, 1987.",von Aulock 1987
Georgiou 1993,"H. Georgiou and N. Faraklas, “’Αρχαία κατοίκηση στην Κέα· το βόρειο τμήμα της ανατολικής πλευράς του νησιού,” Ariadne 6 (1993) 7-57.",Georgiou 1993
Asskamp 1989,"R. Asskamp (ed.), 2000 Jahre Römer in Westfalen, Mainz, 1989.",Asskamp 1989
Karageorghis 1979,"V. Karageorghis, “Material from a sanctuary at Potamia,” RDAC (1979) 289-315.",Karageorghis 1979
Allen 1992,"J.R.L. Allen and M.G. Fulford, “Romano-British and later geoarchaeology at Oldbury Flats,” AJ 149 (1992) 82-123.",Allen 1992
Quilici 1987,"L. Quilici and S. Quilici Gigli, “L’abitato di Monte Carbolino,” QuadAEI 14 (1987) 259-77.",Quilici 1987
Chiarucci 1983,"P. Chiarucci, Lanuvium, Rome, 1983.",Chiarucci 1983
Scarfì 1985,"B.M. Scarfì and M. Tombolani, Altino preromana e romana, Venice, 1985.",Scarfì 1985
Quilici 1989a,"L. Quilici, Via Appia. Da Porta Capena ai Colli Albani, Rome, 1989.",Quilici 1989
Petti 1991,"G. Petti, “Cisterna (Latina) . Località Le Castella,” Bollettino di Archeologia 8 (1991) 92-98.",Petti 1991
Buck 1981,"R.J. Buck, “The ancient roads of northwestern Lucania and the battle of Numistro,” PP 200 (1981) 317-47.",Buck 1981
Solomonik 1987,"E.I. Solomonik, “Dva antichnykh pis'ma iz Kryma,” VDI 3 (1987) 114-31.",Solomonik 1987
Spatafora 1993a,"F. Spatafora, “La Montagnola di Marineo,” Kokalos 39-40 (1993-94) 1187-98.",Spatafora 1993a
Schmid 1932,"W. Schmid, “Die römische Poststation Noreia in Einöd,” ÖJh 27 (1932) Beib. 194-222.",Schmid 1932
Svoronos 1893,"I.N. Svoronos, “Νομισματικὴ καὶ ἱστορία τῆς ἀρχαίας Μυκόνου,” BCH 17 (1893) 455-99.",Svoronos 1893
Desbordes 1992,"J.-M. Desbordes, “Enquête sur le tracé de la voie antique de Limoges à Saintes entre Aurence et Vienne,” TAL 12 (1992) 113-21.",Desbordes 1992
Desbordes 1993,"J.-M. Desbordes, J. Dubois and S. Louradour, “La voie romaine de Lyon à Bordeaux dans le pays d’Eygurande (Corrèze),” TAL 13 (1993) 71-79.",Desbordes 1993
Desbordes 1990,"J.-M. Desbordes and J. Perrin, “Archéologie aérienne en Haute-Vienne: la recherche des anciens itinéraires et de leur équipement riverain,” TAL 10 (1990) 7-16.",Desbordes 1990
Flanagan 1996,"J.W. Flanagan, D.W. McCreery and K. Yassine, “Tall Nimrīn: Preliminary report on the 1995 excavation and geological survey,” ADAJ 40 (1996) 271-92.",Flanagan 1996
Desbordes 1994,"J.-M. Desbordes, “La station routière de Praetorium dans la cité des Lémovices: hypothèses et réalité,” TAL 14 (1994) 17-22.",Desbordes 1994
Famà 1995,"M.L. Famà, “Il porto di Mozia,” SicArch 28.87-89 (1995) 171-80.",Famà 1995
Desbat 1982,"A. Desbat, “Lyon et ses fleuves dans l’antiquité,” in Lyon au fil des fleuves, pp. 29-37, Lyon, 1982.",Desbat 1982
Kahrstedt 1960,"U. Kahrstedt, Die wirtschaftliche Lage Grossgriechenlands in der Kaiserzeit, Historia Einzelschrift 4, Wiesbaden, 1960.",Kahrstedt 1960
Abboudy Ibrahim 1992,"M. Abboudy Ibrahim, “The western desert of Egypt in the classical writings of the Roman era,” in Roma et l’Egitto nell’antichità classica, Cairo, 6-9 Febbraio 1989, pp. 209-17, Rome, 1992.",Abboudy Ibrahim 1992
De La Genière 1964b,"J. De La Genière, “Note sur la chronologie des nécropoles de Torre Galli et de Canale-Janchina,” MEFRA 76 (1964) 7-23.",De La Genière 1964
De La Genière 1964a,"J. De La Genière, “Alla ricerca di abitati antichi in Lucania,” AttiMGrecia n.s. 5 (1964) 129-38.",De La Genière 1964
Couilloud-Le Dinahet 1978,"M.-T. Couilloud-Le Dinahet, “Recherches à Rhénée,” BCH 102 (1978) 855-77.",Couilloud-Le Dinahet 1978
Nikolov 1976,"D. Nikolov, The Thraco-Roman villa rustica near Chatalka, Stara Zagora, Bulgaria, BAR Supplementary series 17, Oxford, 1976.",Nikolov 1976
De Siena 1994,"A. De Siena and L. Giardino, “Herakleia e Metaponto. Trasformazioni urbanistiche e produzione agricola tra tarda repubblica e primo impero: i nuovi dati archeologici,” in Le ravitaillement en blé de Rome et des centres urbains des débuts de la République jusqu’ au Haut Empire, pp. 197-211, Naples and Rome, 1994.",De Siena 1994
Fiorentini 1995,"G. Fiorentini, Monte Adranone (Itinerari XVI), Rome, 1995.",Fiorentini 1995
De Siena 1996,"A. De Siena, “Metapontino: strutture abitative ed organizzazione territoriale prima della fondazione della colonia achea,” in F. D’Andria and K. Mannino (eds.), Ricerche sulla casa in Magna Grecia e in Sicilia, pp. 161-95, Galatina, 1996.",De Siena 1996
Alexiou 1984,"S. Alexiou, “Une nouvelle inscription de Panormos-Apollonia en Crète,” in Aux origines de l’hellénisme. La Crète et la Grèce. Hommage à Henri van Effenterre, pp. 323-27, Paris, 1984.",Alexiou 1984
Maspero 1902,"G. Maspero, “Les stations anciennes entre Coptos et Bérénice d’après des relevés faits in 1873 par l’état-major égyptien,” ASAE 3 (1902) 193-97.",Maspero 1902
Hope Simpson 1973,"R. Hope Simpson and J.F. Lazenby, “Notes from the Dodecanese III,” BSA 68 (1973) 127-79.",Hope Simpson 1973
Hope Simpson 1970,"R. Hope Simpson and J.F. Lazenby, “Notes from the Dodecanese II,” BSA 65 (1970) 47-78.",Hope Simpson 1970
Huntingford 1980,"G. Huntingford, The Periplus of the Erythraean Sea, London, 1980.",Huntingford 1980
Mattiocco 1981,"E. Mattiocco, Centri fortificati preromani nel territorio dei Peligni, Sulmona, 1981.",Mattiocco 1981
